Image, KNN Similarity (%), HTM Similarity (%)
ReconstructedSDR_194, 0.00, 0.00
ReconstructedSDR_195, 83.27, 85.34
ReconstructedSDR_196, 0.00, 0.00
ReconstructedSDR_197, 86.36, 86.97
ReconstructedSDR_198, 88.47, 88.64
ReconstructedSDR_199, 84.33, 84.92
ReconstructedSDR_200, 0.00, 0.00
ReconstructedSDR_201, 0.00, 0.00
ReconstructedSDR_202, 0.00, 0.00
ReconstructedSDR_203, 0.00, 0.00
ReconstructedSDR_204, 83.27, 85.34
ReconstructedSDR_205, 0.00, 0.00
ReconstructedSDR_206, 86.36, 86.97
ReconstructedSDR_207, 88.47, 88.64
ReconstructedSDR_208, 84.33, 84.92
ReconstructedSDR_209, 0.00, 0.00
ReconstructedSDR_210, 0.00, 0.00
ReconstructedSDR_211, 0.00, 0.00
ReconstructedSDR_212, 0.00, 0.00
ReconstructedSDR_213, 83.27, 85.34
ReconstructedSDR_214, 0.00, 0.00
ReconstructedSDR_215, 86.36, 86.97
ReconstructedSDR_216, 88.47, 88.64
ReconstructedSDR_217, 84.33, 84.92
ReconstructedSDR_218, 0.00, 0.00
ReconstructedSDR_219, 0.00, 0.00
ReconstructedSDR_220, 0.00, 0.00
ReconstructedSDR_221, 0.00, 0.00
ReconstructedSDR_222, 83.27, 85.34
ReconstructedSDR_223, 0.00, 0.00
ReconstructedSDR_224, 86.36, 86.97
ReconstructedSDR_225, 88.47, 88.64
ReconstructedSDR_226, 84.33, 84.92
ReconstructedSDR_227, 0.00, 0.00
ReconstructedSDR_228, 0.00, 0.00
ReconstructedSDR_229, 0.00, 0.00
ReconstructedSDR_230, 0.00, 0.00
ReconstructedSDR_231, 83.27, 85.34
ReconstructedSDR_232, 0.00, 0.00
ReconstructedSDR_233, 86.36, 86.97
ReconstructedSDR_234, 88.47, 88.64
ReconstructedSDR_235, 84.33, 84.92
ReconstructedSDR_236, 0.00, 0.00
ReconstructedSDR_237, 0.00, 0.00
ReconstructedSDR_238, 0.00, 0.00
ReconstructedSDR_239, 0.00, 0.00
ReconstructedSDR_240, 83.27, 85.34
ReconstructedSDR_241, 0.00, 0.00
ReconstructedSDR_242, 86.36, 86.97
ReconstructedSDR_243, 88.47, 88.64
ReconstructedSDR_244, 84.33, 84.92
ReconstructedSDR_245, 0.00, 0.00
ReconstructedSDR_246, 0.00, 0.00
ReconstructedSDR_247, 0.00, 0.00
ReconstructedSDR_248, 0.00, 0.00
ReconstructedSDR_249, 83.27, 85.34
ReconstructedSDR_250, 0.00, 0.00
ReconstructedSDR_251, 86.36, 86.97
ReconstructedSDR_252, 88.47, 88.64
ReconstructedSDR_253, 84.33, 84.92
ReconstructedSDR_254, 0.00, 0.00
ReconstructedSDR_255, 0.00, 0.00
ReconstructedSDR_256, 0.00, 0.00
ReconstructedSDR_257, 0.00, 0.00
ReconstructedSDR_258, 83.27, 85.34
ReconstructedSDR_259, 0.00, 0.00
ReconstructedSDR_260, 86.36, 86.97
ReconstructedSDR_261, 88.47, 88.64
ReconstructedSDR_262, 84.33, 84.92
ReconstructedSDR_263, 0.00, 0.00
ReconstructedSDR_264, 0.00, 0.00
ReconstructedSDR_265, 0.00, 0.00
ReconstructedSDR_266, 0.00, 0.00
ReconstructedSDR_267, 83.27, 85.34
ReconstructedSDR_268, 0.00, 0.00
ReconstructedSDR_269, 86.36, 86.97
ReconstructedSDR_270, 88.47, 88.64
ReconstructedSDR_271, 84.33, 84.92
ReconstructedSDR_272, 0.00, 0.00
ReconstructedSDR_273, 0.00, 0.00
ReconstructedSDR_274, 0.00, 0.00
ReconstructedSDR_275, 0.00, 0.00
ReconstructedSDR_276, 83.27, 85.34
ReconstructedSDR_277, 0.00, 0.00
ReconstructedSDR_278, 86.36, 86.97
ReconstructedSDR_279, 88.47, 88.64
ReconstructedSDR_280, 84.33, 84.92
ReconstructedSDR_281, 0.00, 0.00
ReconstructedSDR_282, 0.00, 0.00
ReconstructedSDR_283, 0.00, 0.00
ReconstructedSDR_284, 0.00, 0.00
ReconstructedSDR_285, 83.27, 85.34
ReconstructedSDR_286, 0.00, 0.00
ReconstructedSDR_287, 86.36, 86.97
ReconstructedSDR_288, 88.47, 88.64
ReconstructedSDR_289, 84.33, 84.92
ReconstructedSDR_290, 0.00, 0.00
ReconstructedSDR_291, 0.00, 0.00
ReconstructedSDR_292, 0.00, 0.00
ReconstructedSDR_293, 0.00, 0.00
ReconstructedSDR_294, 83.27, 85.34
ReconstructedSDR_295, 0.00, 0.00
ReconstructedSDR_296, 86.36, 86.97
ReconstructedSDR_297, 88.47, 88.64
ReconstructedSDR_298, 84.33, 84.92
ReconstructedSDR_299, 0.00, 0.00
ReconstructedSDR_300, 0.00, 0.00
ReconstructedSDR_301, 0.00, 0.00
ReconstructedSDR_302, 0.00, 0.00
ReconstructedSDR_303, 83.27, 85.34
ReconstructedSDR_304, 0.00, 0.00
ReconstructedSDR_305, 86.36, 86.97
ReconstructedSDR_306, 88.47, 88.64
ReconstructedSDR_307, 84.33, 84.92
ReconstructedSDR_308, 0.00, 0.00
ReconstructedSDR_309, 0.00, 0.00
ReconstructedSDR_310, 0.00, 0.00
ReconstructedSDR_311, 0.00, 0.00
ReconstructedSDR_312, 83.27, 85.34
ReconstructedSDR_313, 0.00, 0.00
ReconstructedSDR_314, 86.36, 86.97
ReconstructedSDR_315, 88.47, 88.64
ReconstructedSDR_316, 84.33, 84.92
ReconstructedSDR_317, 0.00, 0.00
ReconstructedSDR_318, 0.00, 0.00
ReconstructedSDR_319, 0.00, 0.00
ReconstructedSDR_320, 0.00, 0.00
ReconstructedSDR_321, 83.27, 85.34
ReconstructedSDR_322, 0.00, 0.00
ReconstructedSDR_323, 86.36, 86.97
ReconstructedSDR_324, 88.47, 88.64
ReconstructedSDR_325, 84.33, 84.92
ReconstructedSDR_326, 0.00, 0.00
ReconstructedSDR_327, 0.00, 0.00
ReconstructedSDR_328, 0.00, 0.00
ReconstructedSDR_329, 0.00, 0.00
ReconstructedSDR_330, 83.27, 85.34
ReconstructedSDR_331, 0.00, 0.00
ReconstructedSDR_332, 86.36, 86.97
ReconstructedSDR_333, 88.47, 88.64
ReconstructedSDR_334, 84.33, 84.92
ReconstructedSDR_335, 0.00, 0.00
ReconstructedSDR_336, 0.00, 0.00
ReconstructedSDR_337, 0.00, 0.00
ReconstructedSDR_338, 0.00, 0.00
ReconstructedSDR_339, 83.27, 85.34
ReconstructedSDR_340, 0.00, 0.00
ReconstructedSDR_341, 86.36, 86.97
ReconstructedSDR_342, 88.47, 88.64
ReconstructedSDR_343, 84.33, 84.92
ReconstructedSDR_344, 0.00, 0.00
ReconstructedSDR_345, 0.00, 0.00
ReconstructedSDR_346, 0.00, 0.00
ReconstructedSDR_347, 0.00, 0.00
ReconstructedSDR_348, 83.27, 85.34
ReconstructedSDR_349, 0.00, 0.00
ReconstructedSDR_350, 86.36, 86.97
ReconstructedSDR_351, 88.47, 88.64
ReconstructedSDR_352, 84.33, 84.92
ReconstructedSDR_353, 0.00, 0.00
ReconstructedSDR_354, 0.00, 0.00
ReconstructedSDR_355, 0.00, 0.00
ReconstructedSDR_356, 0.00, 0.00
ReconstructedSDR_357, 83.27, 85.34
ReconstructedSDR_358, 0.00, 0.00
ReconstructedSDR_359, 86.36, 86.97
ReconstructedSDR_360, 88.47, 88.64
ReconstructedSDR_361, 84.33, 84.92
ReconstructedSDR_362, 0.00, 0.00
ReconstructedSDR_363, 0.00, 0.00
ReconstructedSDR_364, 0.00, 0.00
ReconstructedSDR_365, 0.00, 0.00
ReconstructedSDR_366, 83.27, 85.34
ReconstructedSDR_367, 0.00, 0.00
ReconstructedSDR_368, 86.36, 86.97
ReconstructedSDR_369, 88.47, 88.64
ReconstructedSDR_370, 84.33, 84.92
ReconstructedSDR_371, 0.00, 0.00
ReconstructedSDR_372, 0.00, 0.00
ReconstructedSDR_373, 0.00, 0.00
ReconstructedSDR_374, 0.00, 0.00
ReconstructedSDR_375, 83.27, 85.34
ReconstructedSDR_376, 0.00, 0.00
ReconstructedSDR_377, 86.36, 86.97
ReconstructedSDR_378, 88.47, 88.64
ReconstructedSDR_379, 84.33, 84.92
ReconstructedSDR_380, 0.00, 0.00
ReconstructedSDR_381, 0.00, 0.00
ReconstructedSDR_382, 0.00, 0.00
ReconstructedSDR_383, 0.00, 0.00
ReconstructedSDR_384, 83.27, 85.34
ReconstructedSDR_385, 0.00, 0.00
ReconstructedSDR_386, 86.36, 86.97
ReconstructedSDR_387, 88.47, 88.64
ReconstructedSDR_388, 84.33, 84.92
ReconstructedSDR_389, 0.00, 0.00
ReconstructedSDR_390, 0.00, 0.00
ReconstructedSDR_391, 0.00, 0.00
ReconstructedSDR_392, 0.00, 0.00
ReconstructedSDR_393, 83.27, 85.34
ReconstructedSDR_394, 0.00, 0.00
ReconstructedSDR_395, 86.36, 86.97
ReconstructedSDR_396, 88.47, 88.64
ReconstructedSDR_397, 84.33, 84.92
ReconstructedSDR_398, 0.00, 0.00
ReconstructedSDR_399, 0.00, 0.00
ReconstructedSDR_400, 0.00, 0.00
ReconstructedSDR_401, 0.00, 0.00
ReconstructedSDR_402, 83.27, 85.34
ReconstructedSDR_403, 0.00, 0.00
ReconstructedSDR_404, 86.36, 86.97
ReconstructedSDR_405, 88.47, 88.64
ReconstructedSDR_406, 84.33, 84.92
ReconstructedSDR_407, 0.00, 0.00
ReconstructedSDR_408, 0.00, 0.00
ReconstructedSDR_409, 0.00, 0.00
ReconstructedSDR_410, 0.00, 0.00
ReconstructedSDR_411, 83.27, 85.34
ReconstructedSDR_412, 0.00, 0.00
ReconstructedSDR_413, 86.36, 86.97
ReconstructedSDR_414, 88.47, 88.64
ReconstructedSDR_415, 84.33, 84.92
ReconstructedSDR_416, 0.00, 0.00
ReconstructedSDR_417, 0.00, 0.00
ReconstructedSDR_418, 0.00, 0.00
ReconstructedSDR_419, 0.00, 0.00
ReconstructedSDR_420, 83.27, 85.34
ReconstructedSDR_421, 0.00, 0.00
ReconstructedSDR_422, 86.36, 86.97
ReconstructedSDR_423, 88.47, 88.64
ReconstructedSDR_424, 84.33, 84.92
ReconstructedSDR_425, 0.00, 0.00
ReconstructedSDR_426, 0.00, 0.00
ReconstructedSDR_427, 0.00, 0.00
ReconstructedSDR_428, 0.00, 0.00
ReconstructedSDR_429, 83.27, 85.34
ReconstructedSDR_430, 0.00, 0.00
ReconstructedSDR_431, 86.36, 86.97
ReconstructedSDR_432, 88.47, 88.64
ReconstructedSDR_433, 84.33, 84.92
ReconstructedSDR_434, 0.00, 0.00
ReconstructedSDR_435, 0.00, 0.00
ReconstructedSDR_436, 0.00, 0.00
ReconstructedSDR_437, 0.00, 0.00
ReconstructedSDR_438, 83.27, 85.34
ReconstructedSDR_439, 0.00, 0.00
ReconstructedSDR_440, 86.36, 86.97
ReconstructedSDR_441, 88.47, 88.64
ReconstructedSDR_442, 84.33, 84.92
ReconstructedSDR_443, 0.00, 0.00
ReconstructedSDR_444, 0.00, 0.00
ReconstructedSDR_445, 0.00, 0.00
ReconstructedSDR_446, 0.00, 0.00
ReconstructedSDR_447, 83.27, 85.34
ReconstructedSDR_448, 0.00, 0.00
ReconstructedSDR_449, 86.36, 86.97
